M1,M2,mu,m_chi1,m_chi2,tanb,m_A,m_H,BR_bsg,Omega_h2,sigma_SI,sigma_SD,chi2,weight,label
522.232,940.007,1058.22,383.226,955.684,16.847,1283.4,1053.22,0.000346109,0.0751962,5.41919e-09,1.33316e-08,28.883,2.37833,0
297.661,510.498,656.873,309.943,681.316,20.726,1504.47,1395.33,0.000351446,0.203895,8.62154e-09,7.22723e-08,24.0499,1.14763,0
519.187,987.162,1066.15,452.03,1075.81,30.3646,2061.16,2150.01,0.000333076,0.146041,7.625e-09,7.42032e-08,28.0772,1.97794,0
329.641,591.391,709.647,362.564,741.787,29.3606,1370.6,1355.93,0.000330564,0.194378,7.94396e-09,5.95865e-08,19.1161,1.34458,1
345.619,568.264,562.214,317.896,452.667,27.0441,1552.83,1731.46,0.000306715,0.10589,2.63326e-09,3.1619e-08,22.6922,1.80918,0
460.9,823.659,832.669,493.708,838.367,19.0633,1607.98,1500.19,0.000338947,0.0492474,2.22506e-09,2.85824e-08,26.2564,3.17648,0
628.465,863.545,1103.41,500.021,1033.5,24.811,1360.14,927.092,0.000363787,0.00790482,-1.43296e-09,-4.34865e-09,27.6146,5.99728,0
395.047,800.124,1202.23,386.536,844.898,37.3737,2159.6,2227.92,0.00032237,0.0952403,3.01597e-09,3.29453e-08,28.8121,1.22648,0
425.922,794.456,951.865,376.372,895.067,36.4148,2378.9,2568.87,0.000237609,0.0634514,6.42396e-09,4.10301e-08,26.2833,1.66067,0
488.655,615.366,598.279,400.444,703.932,25.8659,962.769,1520.18,0.00035663,0.0638189,1.37036e-09,2.996e-08,23.1536,0.836605,0
641.319,1142.05,897.645,557.149,1096.79,18.9152,1071.2,1275.24,0.000346441,0.182756,6.6093e-09,5.83217e-08,19.2429,4.73289,1
340.476,627.348,616.109,190.201,642.095,10.2956,930.378,1089.45,0.000324909,0.179772,7.23629e-09,4.42784e-08,19.5854,6.23818,1
258.998,712.589,971.666,299.759,446.277,15.6245,1088.24,1289.58,0.000375943,0.0893198,1.71239e-09,3.83649e-08,21.634,6.6438,1
355.116,902.733,629.77,388.471,909.565,21.6037,1296.26,1560.53,0.000290692,0.1228,5.23903e-09,2.34873e-08,20.777,2.95609,1
